equipment_id,schwierigkeit,tabu_woerter,ausgeschlossene_modi
druckschlauch-b,Leicht,Schlauch;Wasser;Rollen;Kupplung,
druckschlauch-c,Leicht,Schlauch;Angriff;Rohr;Kupplung,
steckleiter,Leicht,Leiter;Steigen;Teile;Fenster,
klappleiter,Leicht,Leiter;Klappen;Steigen,
verteiler,Leicht,Verteilen;Rohre;Drei;Niederschraubventil,
standrohr,Leicht,Hydrant;Wasser;Unterflur;Schlüssel,
hohlstrahlrohr,Leicht,Rohr;Sprühen;Wasser;Strahl,
pulverloescher,Leicht,Feuer;Löschen;Pulver;Schaum,
handscheinwerfer,Leicht,Licht;Lampe;Leuchten;Dunkel,
verkehrsleitkegel,Leicht,Straße;Absperren;Orange;Hütchen,
feuerwehrleine,Leicht,Seil;Knoten;Sichern;Beutel,
feuerwehreimer,Leicht,Wasser;Tragen;Henkel,
kuebelspritze,Leicht,Wasser;Eimer;Pumpen;Kleinbrand,
spaten,Leicht,Graben;Erde;Schaufel,
brechstange,Leicht,Hebeln;Eisen;Aufbrechen,
rettungsaxt,Leicht,Hacken;Beil;Schlagen;Holz,
atemschutzmaske,Leicht,Gesicht;Atmen;Luft;Rauch,
pressluftatmer,Leicht,Flasche;Rücken;Atmen;Luft,
rettungsdecke,Leicht,Gold;Silber;Wärmen;Patient,
verbandkasten,Leicht,Erste Hilfe;Pflaster;Wunde;Koffer,
motorsaege,Leicht,Sägen;Kette;Baum;Benzin,
warnblitzleuchte,Leicht,Blinken;Gelb;Warnen;Licht,
saugschlauch-a,Leicht,Saugen;Offenes Gewässer;Starr;Kupplung,
schlauchtragekorb,Leicht,Schlauch;Korb;Tragen;C,
bolzenschneider,Leicht,Schneiden;Schloss;Kette;Griffe,
waermebildkamera,Mittel,Kamera;Wärme;Hitze;Bildschirm,
halligan-tool,Mittel,Tür;Hebeln;Aufbrechen;Werkzeug,
kabeltrommel,Mittel,Strom;Kabel;Aufrollen;Steckdose,
stromerzeuger,Mittel,Strom;Benzin;Aggregat;Steckdose,
flutlichtstrahler,Mittel,Licht;Hell;Ausleuchten;Stativ,
beleuchtungsstativ,Mittel,Licht;Stativ;Ausfahren;Höhe,
hydraulische-rettungsschere,Mittel,Schneiden;Auto;Hydraulik;Unfall,
hydraulischer-spreizer,Mittel,Spreizen;Drücken;Auto;Hydraulik,
rettungssatz,Mittel,Schere;Spreizer;Unfall;Hydraulik,
hebekissen,Mittel,Heben;Luft;Druck;Last,
tauchpumpe-tp-4,Mittel,Keller;Wasser;Pumpen;Überflutung,
saugkorb,Mittel,Saugen;Sieb;Gewässer;Schmutz,
trennschleifer,Mittel,Schneiden;Funken;Scheibe;Metall,
saebelsaege,Mittel,Sägen;Blatt;Akku;Schnitt,
ueberdruckluefter,Mittel,Lüften;Rauch;Gebläse;Druck,
uebergangsstueck,Mittel,Adapter;Kupplung;Verteiler;Schlauch,
mehrzweckleine,Mittel,Seil;Ziehen;Sichern;Meter,
oelbindemittel,Mittel,Öl;Streuen;Binden;Straße,Pantomime
fluchthaube,Mittel,Kopf;Rauch;Flucht;Filter,
feuerpatsche,Mittel,Schlagen;Wald;Gras;Feuer,
loeschrucksack,Mittel,Rücken;Wasser;Wald;Sprühen,
schlauchbruecke,Mittel,Schlauch;Auto;Überfahren;Straße,
zurrgurt,Mittel,Spannen;Ratsche;Sichern;Ladung,
werkzeugkoffer,Mittel,Werkzeug;Koffer;Schrauben;Zange,
tueroeffnungswerkzeug,Mittel,Tür;Öffnen;Schloss;Spalt,
multifunktionsleiter,Mittel,Leiter;Klappen;Vielseitig;Steigen,
unterbaumaterial,Mittel,Holz;Keil;Stützen;Unterbauen,
atemluftflasche,Mittel,Druck;Luft;Stahl;Composite,
kupplungsschluessel-abc,Mittel,Kupplung;Lösen;Schlüssel;Schlauch,
unterflurhydrantenschluessel,Mittel,Hydrant;Straße;Deckel;Öffnen,
verkehrssicherungskoffer,Mittel,Straße;Absichern;Warnen;Koffer,
schaummittelkanister,Mittel,Schaum;Kanister;Mittel;Liter,
auffangbehaelter,Mittel,Auffangen;Flüssigkeit;Wanne;Leck,
rettungstuch,Mittel,Tragen;Patient;Tuch;Griffe,
druckschlauch-d,Mittel,Schlauch;Dünn;Klein;Kupplung,
sammelstueck,Schwer,Verbinden;Zusammenführen;Leitung;Zwei,
stuetzkruemmer,Schwer,Krümmer;Stützen;Rohr;Rückstoß,
zumischer,Schwer,Schaum;Mischen;Schaummittel;Wasser,
wenderohr,Schwer,Rohr;Drehen;Wasser;Werfer,
mittelschaumrohr,Schwer,Schaum;Rohr;Mittel;Verschäumung,
schwerschaumrohr,Schwer,Schaum;Rohr;Schwer;Verschäumung,
mehrzweckstrahlrohr-b,Schwer,Rohr;Strahl;Sprüh;B,
mehrzweckstrahlrohr-c,Schwer,Rohr;Strahl;Sprüh;C,
mehrzweckzug,Schwer,Ziehen;Seil;Hebel;Greifzug,
rettungszylinder,Schwer,Drücken;Hydraulik;Auseinander;Zylinder,
rettungsplattform,Schwer,Plattform;Auto;Arbeiten;Stabil,
hydraulikaggregat,Schwer,Hydraulik;Pumpe;Druck;Motor,
hydraulikoel,Schwer,Öl;Hydraulik;Nachfüllen;Kanister,Pantomime
kaminkehrgeraet,Schwer,Kamin;Schornstein;Kehren;Ruß,
atemschutzueberwachungstafel,Schwer,Tafel;Überwachen;Zeit;Trupp,Pantomime
glasmanagement-set,Schwer,Glas;Scheibe;Säge;Folie,
kohlendioxidloescher,Schwer,Löscher;Gas;Kalt;Elektro,
