id,ordnungsnummer,klasse,kurzbezeichnung,langbezeichnung,kategorie,synonyme,pumpe,besatzung,gesamtmasse,loeschwasser,hauptaufgabe,din_ref,antrieb,beschreibung,verwendung
kdow,10,Führungs- und Mannschaftsfahrzeuge,KdoW,Kommandowagen,Führungsfahrzeug,Kommandowagen;Kdow,,Trupp (0/1/1/2),"ca. 3 t",,Führung,DIN 14507-5,Straße,"Pkw oder Kombi als schnelles Führungsfahrzeug für kleine Einsätze. Transportiert Führungskräfte mit Funk, Handscheinwerfern und Führungsmaterial.","Erkundung und Koordination kleiner Einsätze, Zubringer für Führungskräfte"
elw-1,10,Führungs- und Mannschaftsfahrzeuge,ELW 1,Einsatzleitwagen 1,Führungsfahrzeug,Einsatzleitwagen;ELW,,bis 1/3,"ca. 4,6 t",,Führung,DIN 14507-2,Straße,"Führungsfahrzeug auf Kastenwagenbasis mit Funkarbeitsplatz und Führungsmitteln. Bildet die erste Führungsstelle an der Einsatzstelle.","Leitung von Einsätzen bis Zugstärke, mobile Funk- und Führungsstelle"
elw-2,10,Führungs- und Mannschaftsfahrzeuge,ELW 2,Einsatzleitwagen 2,Führungsfahrzeug,Einsatzleitwagen 2,,variabel (Stab),"ca. 11 t",,Führung,DIN 14507-3,Straße,"Großer Einsatzleitwagen mit mehreren Funk- und Sachgebietsarbeitsplätzen für die Stabsarbeit. Dient als ortsfeste Führungsstelle für Verbände.","Führung von Großschadenslagen und Verbänden, Stabsraum vor Ort"
elw-3,10,Führungs- und Mannschaftsfahrzeuge,ELW 3,Einsatzleitwagen 3,Führungsfahrzeug,Einsatzleitwagen 3,,variabel (Stab),">12 t",,Führung,ehem. DIN 14507-4 (nicht mehr genormt),Straße,"Größte Führungsstelle für Katastrophen- und Größtschadenslagen mit Platz für einen kompletten Stab. Heute nicht mehr genormt, oft durch Abrollbehälter Einsatzleitung ersetzt.","Mobile Kommandozentrale bei Katastrophen und Größtschadenslagen"
mtf,10,Führungs- und Mannschaftsfahrzeuge,MTF,Mannschaftstransportfahrzeug,Mannschaftstransport,MTW;Mannschaftstransportwagen,,bis Gruppe (0/1/8/9),"ca. 4,5 t",,Mannschaftstransport,,Straße,"Kleinbus zum Transport von Einsatzkräften und Material. Meist ein handelsübliches Serienfahrzeug mit blauer Kennzeichnung.","Personentransport, Nachschub, Jugendfeuerwehr und logistische Aufgaben"
tlf-2000,20,Tank- und Löschfahrzeuge,TLF 2000,Tanklöschfahrzeug 2000,Tanklöschfahrzeug,,FPN 10-2000,Trupp (0/1/2/3),"ca. 10 t",2000 l,Brandbekämpfung,DIN 14530-18,Allrad,"Wendiges Tanklöschfahrzeug mit 2000 l Wassertank, häufig für die Vegetations- und Waldbrandbekämpfung genutzt.","Schnellangriff und Löschwasserversorgung, Wald- und Flächenbrand"
tlf-3000,20,Tank- und Löschfahrzeuge,TLF 3000,Tanklöschfahrzeug 3000,Tanklöschfahrzeug,,FPN 10-2000,Trupp (0/1/2/3),16 t,3000 l,Brandbekämpfung,DIN 14530-22,Allrad,"Tanklöschfahrzeug mit 3000 l Wasser für den unabhängigen Löschangriff und die Wasserversorgung im Pendelverkehr.","Schnellangriff mit großem Wasservorrat, Löschwasserversorgung"
tlf-4000,20,Tank- und Löschfahrzeuge,TLF 4000,Tanklöschfahrzeug 4000,Tanklöschfahrzeug,,FPN 10-2000,Trupp (0/1/2/3),">16 t",4000 l + 500 l Schaummittel,Brandbekämpfung,DIN 14530-21,Allrad,"Großes Tanklöschfahrzeug mit 4000 l Wasser und 500 l Schaummittel für lang anhaltende oder wasserarme Einsatzstellen.","Löschwasserversorgung im Pendelverkehr, Großbrände, Waldbrand"
gtlf,20,Tank- und Löschfahrzeuge,GTLF,Großtanklöschfahrzeug,Tanklöschfahrzeug,Großtanklöschfahrzeug,FPN 10-2000,Trupp (0/1/1/2),">18 t",ab 8000 l,Brandbekämpfung,nicht genormt,Straße/Allrad,"Sonderfahrzeug mit sehr großem Löschmittelvorrat, oft mit Werfer. Verbreitet bei Werk- und Flughafenfeuerwehren.","Großbrände, Industrie- und Flugzeugbrände, mobiler Löschwasservorrat"
dlk-23-12,30,Hubrettungsfahrzeuge,DLK 23,Drehleiter mit Korb 23-12,Drehleiter,DLK 23/12;DLAK 23-12;Drehleiter,,Trupp (0/1/2/3),16 t,,Rettungstechnik,DIN EN 14043,Straße,"Verbreitetste Drehleiter mit Rettungskorb, Nennrettungshöhe 23 m bei 12 m Ausladung. Standard-Hubrettungsfahrzeug der Feuerwehren.","Menschenrettung aus Höhen, Anleitern, Arbeiten unter Höhe"
dlk-18-12,30,Hubrettungsfahrzeuge,DLK 18,Drehleiter mit Korb 18-12,Drehleiter,DLK 18/12;DLAK 18-12,,Trupp (0/1/2/3),14 t,,Rettungstechnik,DIN EN 14043,Straße,"Kompaktere Drehleiter mit 18 m Nennrettungshöhe für beengte Einsatzräume und leichtere Fahrgestelle.","Menschenrettung und Anleitern in enger Bebauung"
dlk-12-9,30,Hubrettungsfahrzeuge,DLK 12,Drehleiter mit Korb 12-9,Drehleiter,DLK 12/9;DLAK 12-9,,Trupp (0/1/2/3),13 t,,Rettungstechnik,DIN EN 14043,Straße,"Kleinste genormte Drehleiter mit 12 m Nennrettungshöhe auf leichtem Fahrgestell.","Anleitern niedriger Gebäude, Einsätze mit begrenztem Platz"
tgm-23-12,30,Hubrettungsfahrzeuge,TGM 23/12,Teleskopgelenkmast 23-12,Hubarbeitsbühne,Teleskopmast;TMB;Teleskopgelenkmast,,Trupp (0/1/1/2),16 t,,Rettungstechnik,DIN EN 1777,Straße,"Hubrettungsfahrzeug mit gelenkigem Teleskoparm und Korb, das auch über Hindernisse hinweg arbeiten kann.","Menschenrettung und Arbeiten in Höhe, Brandbekämpfung vom Korb"
tsf,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,TSF,Tragkraftspritzenfahrzeug,Tragkraftspritzenfahrzeug,Tragkraftspritzenfahrzeug,PFPN 10-1000,Staffel (0/1/5/6),"4,75 t",,Brandbekämpfung,DIN 14530-16,Straße,"Kleines Löschfahrzeug ohne Wassertank, das eine tragbare Tragkraftspritze und Beladung für eine Gruppe mitführt.","Brandbekämpfung mit unabhängiger Wasserentnahme, Grundschutz kleiner Wehren"
tsf-w,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,TSF-W,Tragkraftspritzenfahrzeug mit Wasser,Tragkraftspritzenfahrzeug,TSF-W,PFPN 10-1000,Staffel (0/1/5/6),"7,5 t",500 bis 750 l,Brandbekämpfung,DIN 14530-17,Straße,"Tragkraftspritzenfahrzeug mit kleinem Löschwassertank und Schnellangriff für den sofortigen Erstangriff.","Erstangriff mit eigenem Wasser, Grundschutz kleiner und mittlerer Wehren"
klf,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,KLF,Kleinlöschfahrzeug,Löschfahrzeug,Kleinlöschfahrzeug,PFPN 10-1000,Staffel (0/1/5/6),"4,75 t",500 l,Brandbekämpfung,DIN 14530-24,Straße,"Sehr leichtes Löschfahrzeug auf Kastenwagen mit Tragkraftspritze und kleinem Wassertank. Mit 4,75 t für die normale Fahrerlaubnis geeignet.","Erstmaßnahmen und Entstehungsbrände in kleinen Wehren"
mlf,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,MLF,Mittleres Löschfahrzeug,Löschfahrzeug,Mittleres Löschfahrzeug,FPN 10-1000,Staffel (0/1/5/6),9 t,600 bis 1000 l,Brandbekämpfung,DIN 14530-25,Straße/Allrad,"Lücke zwischen TSF-W und LF 10 mit fest eingebauter Pumpe, Wassertank und Staffelbesatzung.","Brandbekämpfung und einfache Hilfeleistung als selbstständige taktische Einheit"
lf-10,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,LF 10,Löschgruppenfahrzeug 10,Löschgruppenfahrzeug,LF 10/6,FPN 10-1000,Gruppe (0/1/8/9),14 t,1200 l,Brandbekämpfung / Technische Hilfeleistung,DIN 14530-5,Straße/Allrad,"Vielseitiges Löschgruppenfahrzeug mit Gruppenbesatzung, Pumpe, Tank und Beladung für Brand und einfache Hilfeleistung.","Standard-Löschfahrzeug mittlerer Wehren, Brandbekämpfung und TH"
lf-20,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,LF 20,Löschgruppenfahrzeug 20,Löschgruppenfahrzeug,LF 20/16,FPN 10-2000,Gruppe (0/1/8/9),16 t,2000 l,Brandbekämpfung / Technische Hilfeleistung,DIN 14530-11,Straße/Allrad,"Leistungsstarkes Löschgruppenfahrzeug mit großer Pumpe und 2000 l Tank. Rückgrat vieler Löschzüge.","Universelles Löschfahrzeug für Brandbekämpfung und technische Hilfeleistung"
lf-20-kats,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,LF 20 KatS,Löschgruppenfahrzeug 20 für den Katastrophenschutz,Löschgruppenfahrzeug,LF-KatS,FPN 10-2000,Gruppe (0/1/8/9),16 t,ab 1000 l,Brandbekämpfung / Technische Hilfeleistung,DIN 14530-11,Allrad,"Robuste, geländegängige Variante des LF 20 für den Katastrophenschutz mit reduziertem Tank und erweiterter Beladung.","Überörtliche Hilfe, Wald- und Flächenbrand, Katastrophenschutz"
hlf-10,40,Löschgruppen- und Tragkraftspritzenfahrzeuge,HLF 10,Hilfeleistungslöschgruppenfahrzeug 10,Hilfeleistungslöschgruppenfahrzeug,HLF 10/6,FPN 10-1000,Gruppe (0/1/8/9),14 t,1000 l,Brandbekämpfung / Technische Hilfeleistung,DIN 14530-26,Straße/Allrad,"LF 10 mit erweiterter Beladung zur technischen Hilfeleistung, etwa hydraulischem Rettungssatz.","Kombinierter Brand- und Hilfeleistungseinsatz, Verkehrsunfälle"
