name,synonyme,kurzzeichen,kategorie,unterkategorie,beschreibung,verwendung,typischer_container,ist_behälter,typische_fahrzeuge,din_ref,einheit_menge,region,quelle_konfidenz
Druckschlauch B,B-Schlauch;B-Druckschlauch,B,Schläuche & Armaturen,Druckschläuche,"Druckschlauch 75 mm für die Förderung großer Wassermengen, meist 20 m Rollen","Hauptförderleitung von der Pumpe zum Verteiler oder Werfer",Schlauchtragekorb,nein,LF 20;HLF 20;TLF;TSF-W;LF 10,DIN 14811,Rolle 20 m,DE,hoch
Druckschlauch C,C-Schlauch;C-Druckschlauch;C42;C52,C,Schläuche & Armaturen,Druckschläuche,"Druckschlauch 42/52 mm für den Angriffstrupp, handlich am Rohr","Angriffsleitung vom Verteiler zum Strahlrohr",Schlauchtragekorb,nein,LF 20;HLF 20;TLF;TSF-W;MLF,DIN 14811,Rolle 15 m,DE,hoch
Druckschlauch D,D-Schlauch,D,Schläuche & Armaturen,Druckschläuche,Dünner Druckschlauch 25 mm für kleine Löscheinsätze,Leichte Löschleitung z. B. mit Kübelspritze oder D-Rohr,,nein,LF 20;HLF 20;TSF,DIN 14811,Rolle 15 m,DE,hoch
Saugschlauch A,A-Saugschlauch;Saugschlauch,A,Schläuche & Armaturen,Saugschläuche,"Formstabiler Saugschlauch 110 mm mit Spirale, kuppelbar","Wasserentnahme aus offenem Gewässer (Saugbetrieb)",,nein,LF 20;TLF;TSF-W,DIN 14810,Stück,DE,hoch
Formstabiler Druckschlauch S,S-Schlauch;formstabiler Schlauch,S,Schläuche & Armaturen,Druckschläuche,Knickstabiler Druckschlauch der auch leer die Form hält,Schnellangriff / Erstangriffsleitung,Schnellangriffseinrichtung,nein,HLF 20;TLF,,Rolle,DE,mittel
Verteiler,Dreiwegeverteiler;B-Verteiler;BV,B-CBC,Schläuche & Armaturen,Verteilarmaturen,"Teilt eine B-Zuleitung auf drei Abgänge (2×C, 1×B) mit Absperrhähnen","Aufteilung des Löschwassers auf mehrere Strahlrohre",,nein,LF 20;HLF 20;TLF;TSF-W;LF 10,DIN 14345,Stück,DE,hoch
Sammelstück,Sammelstück A-BB,A-BB,Schläuche & Armaturen,Verteilarmaturen,Führt zwei B-Ströme am A-Sauganschluss der Pumpe zusammen,Wasser aus zwei B-Leitungen in die Pumpe einspeisen,,nein,LF 20;HLF 20;TLF,DIN 14355,Stück,DE,hoch
Standrohr,Überflurstandrohr;Standrohr 2B,2B,Schläuche & Armaturen,Wasserentnahme,Wird auf einen Unterflurhydranten gesetzt und liefert zwei B-Abgänge,Wasserentnahme aus dem Trinkwassernetz (Unterflurhydrant),,nein,LF 20;HLF 20;TLF;TSF-W;LF 10,DIN 14375,Stück,DE,hoch
Übergangsstück,Reduzierstück;Übergangskupplung,,Schläuche & Armaturen,Kupplungen,Verbindet zwei unterschiedliche Storz-Größen (A-B/B-C/C-D),Übergang zwischen verschiedenen Schlauch-/Kupplungsgrößen,,nein,LF 20;HLF 20;TLF,DIN 14342,Stück,DE,mittel
Stützkrümmer,Krümmer;B-Krümmer,,Schläuche & Armaturen,Verteilarmaturen,Krümmer der den Rückstoß am Verteiler/Standrohr aufnimmt,Stabilisiert die B-Leitung am Abgang und schont den Schlauch,,nein,LF 20;HLF 20;TLF,DIN 14360,Stück,DE,mittel
Storz-Kupplung,Festkupplung;Storzkupplung,,Schläuche & Armaturen,Kupplungen,Genormte symmetrische Schnellkupplung (Knaggenkupplung) A/B/C/D,Kuppeln von Schläuchen und Armaturen,,nein,alle,DIN 14301 ff.,Stück,DE,mittel
Blindkupplung,Blinddeckel;Kupplungsdeckel,,Schläuche & Armaturen,Kupplungen,Deckel zum Verschließen einer Storz-Kupplung,Schützt Anschlüsse vor Schmutz / verschließt Abgänge,,nein,alle,,Stück,DE,mittel
Kupplungsschlüssel ABC,Schlüssel ABC;Kupplungsschlüssel,,Schläuche & Armaturen,Werkzeug,Schlüssel zum festen Kuppeln und Lösen von Storz-Kupplungen A/B/C,Kupplungen sicher verbinden und wieder trennen,,nein,alle,DIN 14822,Stück,DE,hoch
Unterflurhydrantenschlüssel,Standrohrschlüssel;Hydrantenschlüssel,,Schläuche & Armaturen,Werkzeug,Schlüssel zum Öffnen der Klaue und der Spindel des Unterflurhydranten,Unterflurhydrant öffnen und Standrohr in Betrieb nehmen,,nein,LF 20;HLF 20;TLF;TSF-W,DIN 3223,Stück,DE,mittel
Überflurhydrantenschlüssel,Oberflurhydrantenschlüssel,,Schläuche & Armaturen,Werkzeug,Schlüssel zum Betätigen der Spindel eines Überflurhydranten,Überflurhydrant in Betrieb nehmen,,nein,LF 20;HLF 20;TLF,,Stück,DE,niedrig
Saugkorb,Saugkorb A;Ansaugkorb,,Schläuche & Armaturen,Wasserentnahme,Korb mit Rückschlagventil am Ende der Saugleitung,Verhindert Rücklauf und hält Grobschmutz beim Saugen fern,,nein,LF 20;TLF;TSF-W,DIN 14362,Stück,DE,mittel
Kupplungsschlüssel-Halteleine,Ventilleine;Kupplungsleine,,Schläuche & Armaturen,Wasserentnahme,Leine zum Öffnen des Rückschlagventils am Saugkorb,Saugkorbventil vom Ufer aus öffnen (Wasser ablassen),,nein,LF 20;TLF,,Stück,DE,niedrig
Schlauchtragekorb,Tragekorb;Schlauchkorb,,Schläuche & Armaturen,Transport,Korb zur Aufnahme fertig gebuchteter C-Schläuche,Schnelles Verlegen der Angriffsleitung,,ja,LF 20;HLF 20;TSF-W,DIN 14827,Stück,DE,mittel
Schlauchbrücke,Schlauchüberführung,,Schläuche & Armaturen,Zubehör,Rampe die über eine verlegte Leitung führt,Schützt Schläuche vor überfahrenden Fahrzeugen,,nein,LF 20;HLF 20;RW,,Stück,DE,mittel
Schlauchhalter,Schlauchband,,Schläuche & Armaturen,Zubehör,Band/Haken zum Fixieren einer Steigleitung,Schlauch an Leitern oder Treppen sichern,,nein,LF 20;HLF 20,,Stück,DE,niedrig
Mehrzweckstrahlrohr C,CM-Strahlrohr;C-Rohr;Mehrzweckrohr,CM,Brandbekämpfung,Strahlrohre,Strahlrohr mit Voll-/Sprühstrahl und Absperrung (Mundstück wechselbar),Formt den Löschstrahl am Ende der C-Leitung,,nein,LF 20;HLF 20;TLF;TSF-W;MLF,DIN 14365,Stück,DE,hoch
Mehrzweckstrahlrohr B,BM-Strahlrohr;B-Rohr,BM,Brandbekämpfung,Strahlrohre,Großes Strahlrohr für hohe Durchflussmengen mit Stützkrümmer,Massiver Löschangriff / großflächige Kühlung,,nein,LF 20;HLF 20;TLF,DIN 14365,Stück,DE,hoch
Mehrzweckstrahlrohr D,DM-Strahlrohr;D-Rohr,DM,Brandbekämpfung,Strahlrohre,Kleines Strahlrohr für die D-Leitung,Löschangriff mit geringer Wassermenge / Nachlöscharbeiten,,nein,LF 20;HLF 20;TSF,DIN 14365,Stück,DE,mittel
Hohlstrahlrohr,HSR;Hohlstrahlrohr C,,Brandbekämpfung,Strahlrohre,"Modernes Strahlrohr mit stufenloser Durchfluss- und Strahlregulierung","Präziser Innenangriff, Sprühbild und Menge fein einstellbar",,nein,HLF 20;LF 20;TLF,,Stück,DE,hoch
Mittelschaumrohr,Schaumrohr M;M-Schaumrohr,M2;M4,Brandbekämpfung,Schaum,Rohr das Wasser-Schaum-Gemisch zu Mittelschaum verschäumt,Flächenbrände und brennbare Flüssigkeiten mit Schaum abdecken,,nein,LF 20;HLF 20;TLF,DIN 14366,Stück,DE,mittel
Schwerschaumrohr,Schaumrohr S;S-Schaumrohr,S2;S4,Brandbekämpfung,Schaum,Rohr für weitwurffähigen Schwerschaum,Löschen von Flüssigkeitsbränden über Distanz,,nein,LF 20;HLF 20;TLF,DIN 14367,Stück,DE,mittel
Zumischer,Schaumzumischer;Z2/Z4,Z2;Z4,Brandbekämpfung,Schaum,Mischt Schaummittel im festen Verhältnis in den Wasserstrom,Herstellung des Wasser-Schaummittel-Gemischs,,nein,LF 20;HLF 20;TLF,DIN 14384,Stück,DE,mittel
Kübelspritze,Wasserlöscher Kübel;KS,,Brandbekämpfung,Kleinlöschgerät,Tragbarer Wasserbehälter mit Handpumpe und D-Schlauch,Kleinbrände und Glutnester ohne großen Aufbau löschen,,nein,LF 20;HLF 20;TSF-W;MLF,DIN 14405,Stück,DE,hoch
Pulverlöscher,ABC-Pulverlöscher;Feuerlöscher PG,PG 12,Brandbekämpfung,Kleinlöschgerät,Tragbarer Feuerlöscher mit ABC-Löschpulver,Erstbekämpfung von Bränden der Klassen A/B/C,,nein,alle,DIN EN 3,Stück,DE,hoch
Kohlendioxidlöscher,CO2-Löscher;Feuerlöscher K,K 5,Brandbekämpfung,Kleinlöschgerät,Feuerlöscher mit Kohlendioxid als Löschmittel,"Brände an elektrischen Anlagen und in Laboren, rückstandsfrei",,nein,RW;GW;ELW,DIN EN 3,Stück,DE,mittel
Feuerpatsche,Löschpatsche,,Brandbekämpfung,Kleinlöschgerät,Gummilappen/Lamellen an einem Stiel,Ausschlagen von Vegetations- und Bodenfeuern,,nein,LF 20;TLF;GW-L,,Stück,DE,mittel
Wärmebildkamera,WBK;Thermalkamera,,Brandbekämpfung,Erkundung,Kamera die Wärmestrahlung sichtbar macht,"Personensuche, Glutnester und Brandausbreitung im Rauch erkennen",,nein,HLF 20;LF 20;ELW,,Stück,DE,hoch
Löschdecke,Feuerlöschdecke,,Brandbekämpfung,Kleinlöschgerät,Nicht brennbare Decke zum Ersticken kleiner Brände,Entstehungsbrände und brennende Personen ersticken,,nein,LF 20;HLF 20;RW,DIN EN 1869,Stück,DE,mittel
Wenderohr,Wasserwerfer;Monitor,,Brandbekämpfung,Strahlrohre,Groß dimensioniertes fernbedien-/richtbares Strahlrohr,Riegelstellung und Abgabe großer Wassermengen,,nein,TLF;GTLF,,Stück,DE,niedrig
Schaummittel,Schaumbildner;Schaumkonzentrat,,Löschmittel,Verbrauchsmittel,Konzentrat das dem Wasser zur Schaumerzeugung zugesetzt wird,Ausgangsstoff für Lösch- und Deckschaum,Schaummittelkanister,nein,LF 20;HLF 20;TLF,,Kanister 20 l,DE,mittel
Netzmittel,Netzmittelzusatz;Class-A-Schaum,,Löschmittel,Verbrauchsmittel,Zusatz der die Oberflächenspannung des Wassers senkt,Bessere Durchdringung bei Glut- und Feststoffbränden,,nein,TLF;LF 20,,Kanister,DE,niedrig
Löschpulver,ABC-Pulver;BC-Pulver,,Löschmittel,Verbrauchsmittel,Feines Löschpulver als Nachfüllung für Pulverlöscher,Nachfüllen und Bevorraten von Pulverlöschern,,nein,GW;RW,,Sack/kg,DE,niedrig
Tragkraftspritze,Motorspritze;TS;PFPN,TS 8/8,Wasserförderung & Pumpen,Pumpen,Tragbare motorbetriebene Feuerlöschkreiselpumpe,Wasserförderung aus offenen Gewässern / Verstärkung,,nein,TSF-W;LF 10;LF 20;GW,DIN 14410,Stück,DE,hoch
Feuerlöschkreiselpumpe,Fahrzeugpumpe;FPN;Heckpumpe,FPN 10-1000,Wasserförderung & Pumpen,Pumpen,Fest eingebaute Kreiselpumpe des Löschfahrzeugs,Förderung des Löschwassers am Fahrzeug,,nein,LF 20;HLF 20;TLF,DIN EN 1028,fest eingebaut,DE,mittel
