geraet,menge,pflicht,typischer_geraeteraum,im_katalog,din_bezug,konfidenz,anmerkung
Feuerlöschkreiselpumpe,1,Pflicht,Heck,ja,DIN 14530-27,hoch,"FPN 10-2000, fest eingebaut (verifiziert)"
Schnellangriffseinrichtung,1,Pflicht,Heck,ja,DIN 14530-27,mittel,"bei HLF meist Pflicht"
Saugschlauch A,4,Pflicht,G6,ja,DIN 14810,mittel,"A-Saugleitung"
Druckschlauch B,14,Pflicht,G5,ja,DIN 14811,mittel,"Anzahl variiert"
Druckschlauch C,9,Pflicht,G3,ja,DIN 14811,mittel,"teils in Tragekörben"
Druckschlauch D,2,optional,Mannschaftsraum,ja,DIN 14811,niedrig,
Verteiler,1,Pflicht,G1,ja,DIN 14345,mittel,"B-CBC"
Sammelstück,1,Pflicht,G6,ja,DIN 14355,mittel,
Standrohr,1,Pflicht,G1,ja,DIN 14375,mittel,
Übergangsstück,2,Pflicht,G1,ja,DIN 14342,niedrig,
Stützkrümmer,2,Pflicht,G1,ja,DIN 14360,niedrig,
Saugkorb,1,Pflicht,G6,ja,DIN 14362,niedrig,
Kupplungsschlüssel ABC,4,Pflicht,G1,ja,DIN 14822,mittel,
Unterflurhydrantenschlüssel,1,Pflicht,G1,ja,,niedrig,
Schlauchtragekorb,4,Pflicht,G3,ja,DIN 14827,mittel,
Mehrzweckstrahlrohr C,3,Pflicht,G4,ja,DIN 14365,mittel,"CM"
Mehrzweckstrahlrohr B,1,Pflicht,G4,ja,DIN 14365,mittel,"BM"
Hohlstrahlrohr,2,wahlweise,G4,ja,,mittel,
Zumischer,1,Pflicht,G2,ja,DIN 14384,mittel,"Z4"
Mittelschaumrohr,1,Pflicht,G2,ja,DIN 14366,niedrig,
Schwerschaumrohr,1,Pflicht,G2,ja,DIN 14367,niedrig,
Schaummittelkanister,6,Pflicht,G2,ja,DIN 14530-27,hoch,"120 l = 6 × 20 l (verifiziert)"
Kübelspritze,1,Pflicht,Mannschaftsraum,ja,DIN 14405,mittel,
Pulverlöscher,2,Pflicht,G1,ja,DIN EN 3,hoch,"12 kg = 2 × 6 kg ABC (verifiziert)"
Steckleiter,1,Pflicht,Dach,ja,DIN EN 1147,hoch,"4-teilig (verifiziert)"
Multifunktionsleiter,2,wahlweise,Dach,ja,DIN EN 1147,mittel,"Alternative zur Steckleiter"
Klappleiter,1,Pflicht,Dach,ja,DIN EN 1147,mittel,
Feuerwehrleine,4,Pflicht,Mannschaftsraum,ja,DIN 14920,mittel,"je Trupp, im Leinenbeutel"
Rettungstuch,1,optional,G3,ja,DIN 14152,niedrig,
Pressluftatmer,4,Pflicht,Mannschaftsraum,ja,DIN EN 137,hoch,"4 PA (verifiziert)"
Atemluftflasche,4,Pflicht,Mannschaftsraum,ja,,mittel,"plus Reserveflaschen"
Atemschutzmaske,4,Pflicht,Mannschaftsraum,ja,DIN EN 136,mittel,
Fluchthaube,2,Pflicht,Mannschaftsraum,ja,,hoch,"2 Stück (verifiziert)"
Atemschutzüberwachungstafel,1,Pflicht,Mannschaftsraum,ja,,mittel,
Wärmebildkamera,1,Pflicht,Mannschaftsraum,ja,,mittel,"bei HLF üblich Pflicht"
Stromerzeuger,1,Pflicht,G2,ja,DIN 14685,hoch,
Flutlichtstrahler,2,Pflicht,G2,ja,,mittel,
Beleuchtungsstativ,2,Pflicht,G2,ja,,mittel,
Kabeltrommel,2,Pflicht,G2,ja,DIN 14680,mittel,
Handscheinwerfer,4,Pflicht,Mannschaftsraum,ja,,mittel,
Verkehrssicherungskoffer,1,Pflicht,G5,ja,,mittel,"'Verkehrsunfallkasten'"
Verkehrsleitkegel,4,Pflicht,G5,ja,,mittel,
Warnblitzleuchte,4,Pflicht,G5,ja,,mittel,
Werkzeugkoffer,1,Pflicht,G1,ja,DIN 14881,hoch,"Feuerwehr-Werkzeugkasten"
Motorsäge,1,Pflicht,G6,ja,,mittel,
Trennschleifer,1,Pflicht,G6,ja,,mittel,"bei HLF üblich Pflicht"
Säbelsäge,1,Pflicht,G6,ja,,mittel,
Tauchpumpe TP 4,1,Pflicht,G6,ja,DIN 14425,hoch,"TP 4"
Überdrucklüfter,1,Pflicht,G6,ja,,mittel,"Drucklüfter"
Bolzenschneider,1,Pflicht,G1,ja,,mittel,
Brechstange,1,Pflicht,G1,ja,,mittel,
Spaten,1,Pflicht,G6,ja,,niedrig,
Rettungsaxt,1,Pflicht,G1,ja,,niedrig,
Verbandkasten,1,Pflicht,Mannschaftsraum,ja,DIN 13157,mittel,
Rettungsdecke,2,optional,Mannschaftsraum,ja,,niedrig,
Ölbindemittel,1,Pflicht,G6,ja,,niedrig,"bei HLF üblich (TH)"
Auffangbehälter,1,optional,G6,ja,,niedrig,
Rettungssatz,1,Pflicht,G3,ja,DIN 14530-27,hoch,"HLF-Zusatz: hydraulischer Rettungssatz (verifiziert)"
Hydraulische Rettungsschere,1,Pflicht,G3,ja,EN 13204,hoch,"HLF-Zusatz: Schere min. Klasse BC"
Hydraulischer Spreizer,1,Pflicht,G3,ja,EN 13204,hoch,"HLF-Zusatz: Spreizer min. Klasse BS"
Rettungszylinder,2,Pflicht,G3,ja,,mittel,"HLF-Zusatz: Satz Rettungszylinder"
Hydraulikaggregat,1,Pflicht,G3,ja,,mittel,"HLF-Zusatz: Antrieb der Rettungsgeräte"
Hydrauliköl,1,optional,G3,ja,,niedrig,"HLF-Zusatz: Reserve"
